obat,kategori_demand,metode_terbaik,WAPE_test,parameter,ABC,VEN,AMC,safety_stock,Min,Max,stok_terkini,status,perlu_pesan,skor,kritis
CETIRIZINE 10 MG TABLET,smooth,SES,37.58392473896467,alpha=0.11,A,E,343.8,394,737,1244,925.0,aman,0.0,5,False
CIPROFLOXASIN 500 MG TABLET,smooth,SES,38.81445267523077,alpha=0.01,B,V,79.0,82,161,274,652.0,aman,0.0,5,False
DOMPERIDONE TABLET,erratic,SES,79.03741905088047,alpha=0.06,A,E,322.7,493,815,1342,1030.0,aman,0.0,5,False
METHYLPREDNISOLON 8MG TAB,lumpy,-,,-,A,E,385.1,1301,1686,2609,2040.0,aman,0.0,5,False
OMEGTAMINE TAB,intermittent,-,,-,A,E,115.3,185,301,493,1137.0,aman,0.0,5,False
RANITIDINE TABLET,smooth,SES,81.92161631814845,alpha=0.01,A,E,438.8,501,940,1586,1000.0,aman,0.0,5,False
SCOPMA PLUS (HYOSCINE + PARASETAMOL) TABLET,erratic,SES,104.80807895445545,alpha=0.6,A,E,210.2,333,543,891,641.0,aman,0.0,5,False
ACYCLOVIR SALEP,intermittent,SBA,138.48286939341634,"az=0.95,ap=0.95",C,V,15.7,24,39,65,63.0,aman,0.0,4,False
AMBROXOL TABLET,lumpy,-,,-,B,E,90.0,361,451,690,1690.0,aman,0.0,4,False
AMOXICILLIN TABLET,erratic,SES,,alpha=0.04,B,E,131.7,197,329,543,644.0,aman,0.0,4,False
AZITROMICYN TABLET,erratic,SES,58.239245913893136,alpha=0.4,B,E,31.2,53,84,137,146.0,aman,0.0,4,False
BENOSON-M SALEP,lumpy,-,,-,C,V,0.9,3,4,6,5.0,aman,0.0,4,False
"BISOPROLOL 2,5MG",data tidak cukup,aturan stok,,-,C,V,0.0,0,0,0,590.0,aman,0.0,4,False
BISOPROROL 5 TABLET,lumpy,-,,-,C,V,14.6,34,48,77,325.0,aman,0.0,4,False
CAIRAN INFUS NACL 500ML,lumpy,SBA,525.4763153705079,"az=0.95,ap=0.05",C,V,6.8,14,21,34,23.0,aman,0.0,4,False
CALORTUSIN TABLET,lumpy,-,,-,B,E,60.8,283,344,522,510.0,aman,0.0,4,False
CANDESARTAN 16MG TAB,data tidak cukup,aturan stok,,-,C,V,2.5,14,17,25,170.0,aman,0.0,4,False
CANDESARTAN 8MG TAB,data tidak cukup,aturan stok,,-,C,V,0.8,5,6,9,290.0,aman,0.0,4,False
"CAPTOPRIL 12,5MG TABLET",intermittent,-,,-,C,V,1.2,5,7,10,201.0,aman,0.0,4,False
CEFIXIME 200MG,data tidak cukup,aturan stok,,-,B,E,213.0,352,565,924,1146.0,aman,0.0,4,False
Candesartan 8mg Tab,intermittent,-,,-,C,V,11.6,40,52,79,300.0,aman,0.0,4,False
FG TROCES TABLET,erratic,SES,33.52309237251911,alpha=0.02,B,E,68.1,124,192,311,447.0,aman,0.0,4,False
GABAPENTIN 100MG,data tidak cukup,aturan stok,,-,C,V,0.8,5,6,9,90.0,aman,0.0,4,False
HANSAPLAST PLESTER,data tidak cukup,aturan stok,,-,C,V,0.0,0,0,0,337.0,aman,0.0,4,False
HEVIT PLUS TAB,intermittent,Croston,80.07706335666805,"az=0.05,ap=0.05",B,E,73.3,244,317,492,320.0,aman,0.0,4,False
HYDROCORTISON CREAM 1%,data tidak cukup,aturan stok,,-,C,V,0.1,1,1,2,18.0,aman,0.0,4,False
INTERZINC SIRUP,intermittent,Croston,100.0,"az=0.05,ap=0.05",C,V,0.2,1,1,2,5.0,aman,0.0,4,False
KETONAZOLE 200MG TABLET,lumpy,Croston,646.5734569961635,"az=0.2,ap=0.35",C,V,20.8,49,70,111,340.0,aman,0.0,4,False
L-BIO,intermittent,Croston,100.0,"az=0.05,ap=0.05",C,V,7.8,20,28,44,86.0,aman,0.0,4,False
LACYS (ACETYLSISTEIN),data tidak cukup,aturan stok,,-,B,E,249.7,583,833,1324,3204.0,aman,0.0,4,False
PAMOL TAB 500MG (PARACETAMOL TAB),data tidak cukup,aturan stok,,-,B,E,901.0,0,901,1802,3886.0,aman,0.0,4,False
RANIGEN (RANITIDIN) TABLET,data tidak cukup,aturan stok,,-,C,V,0.0,0,0,0,2338.0,aman,0.0,4,False
SANGOBION KAPSUL,erratic,SES,28.07205416617545,alpha=0.38,B,E,68.8,113,182,297,380.0,aman,0.0,4,False
TRANSAMIN (ASAM TRANEXAMAT 500MG) TABLET,erratic,SES,152.34248321113043,alpha=0.6,B,E,65.5,102,167,275,214.0,aman,0.0,4,False
